ServiceID,ReferralID,FrequencyID
1,5,1
1,9,1
1,10,1
1,14,1
1,15,1
1,16,1
1,26,1
1,27,1
1,32,1
1,36,2
1,42,1
1,52,1
1,60,1
1,64,2
1,65,1
1,80,2
1,105,1
1,110,1
1,121,3
1,125,1
1,130,1
1,145,1
1,161,3
1,168,3
1,172,1
1,198,1
1,217,1
1,229,1
1,237,1
1,240,1
1,242,3
1,246,1
1,257,1
1,272,3
1,277,1
1,281,1
1,286,2
1,300,1
1,304,1
1,311,1
1,333,1
1,340,3
1,344,1
1,356,1
1,365,1
1,371,1
1,374,1
1,379,1
1,384,1
1,385,1
1,387,1
1,399,1
1,402,1
1,408,1
1,409,1
1,413,1
1,427,1
1,445,1
1,446,1
1,470,1
1,473,1
1,486,1
1,501,2
1,508,1
1,510,1
1,516,1
1,521,1
1,527,1
1,530,1
1,532,1
1,545,1
1,549,1
1,552,1
1,573,2
1,577,1
1,588,1
1,596,1
1,602,1
1,618,2
1,629,1
1,647,1
1,650,1
1,659,1
1,661,1
1,663,1
1,671,1
1,681,2
1,684,1
1,705,1
1,717,1
1,719,1
1,741,1
1,742,1
1,743,1
1,753,1
1,754,1
1,772,1
1,777,1
1,778,1
1,781,1
1,784,1
1,796,1
1,812,1
1,819,1
1,820,1
1,822,1
2,23,3
2,30,3
2,54,3
2,59,3
2,86,3
2,90,3
2,94,3
2,116,3
2,120,3
2,121,3
2,123,3
2,138,3
2,141,3
2,158,3
2,161,3
2,164,3
2,166,3
2,167,3
2,168,3
2,169,3
2,171,3
2,174,3
2,180,3
2,187,3
2,192,3
2,195,3
2,196,3
2,206,3
2,211,3
2,222,3
2,228,3
2,242,3
2,256,3
2,259,3
2,263,3
2,269,3
2,272,3
2,280,3
2,284,3
2,292,3
2,316,3
2,317,3
2,323,3
2,334,3
2,335,3
2,340,3
2,355,3
2,368,3
2,370,3
2,376,3
2,377,3
2,391,3
2,392,3
2,393,3
2,417,3
2,418,3
2,428,3
2,440,3
2,444,3
2,454,3
2,466,3
2,469,3
2,471,3
2,480,3
2,489,3
2,490,3
2,496,3
2,498,3
2,503,3
2,529,3
2,557,3
2,561,3
2,564,3
2,575,3
2,580,3
2,585,3
2,594,3
2,622,3
2,648,3
2,652,3
2,655,3
2,662,3
2,682,3
2,685,3
2,691,3
2,697,3
2,698,3
2,700,3
2,703,3
2,704,3
2,707,3
2,709,3
2,711,3
2,713,3
2,714,3
2,721,3
2,733,3
2,735,3
2,755,3
2,763,3
2,788,3
2,792,3
2,794,3
2,795,3
2,802,3
2,807,3
2,815,3
2,824,3
3,26,1
3,31,1
3,34,1
3,40,1
3,57,1
3,58,1
3,63,1
3,85,1
3,89,1
3,91,1
3,92,1
3,94,3
3,96,1
3,116,3
3,126,1
3,128,1
3,134,1
3,150,1
3,153,1
3,155,1
3,158,3
3,160,1
3,173,1
3,175,1
3,179,2
3,181,1
3,243,2
3,256,3
3,258,2
3,260,1
3,267,1
3,287,1
3,290,1
3,297,1
3,299,1
3,308,1
3,313,1
3,323,3
3,332,1
3,347,1
3,352,1
3,354,1
3,361,1
3,369,1
3,376,3
3,383,1
3,387,1
3,395,1
3,404,1
3,407,1
3,430,1
3,436,1
3,466,3
3,476,1
3,483,1
3,484,1
3,485,1
3,489,3
3,494,2
3,503,3
3,506,1
3,509,2
3,510,1
3,514,1
3,525,1
3,531,1
3,532,1
3,533,1
3,538,1
3,543,1
3,544,1
3,548,1
3,553,1
3,569,1
3,570,1
3,583,1
3,584,1
3,586,1
3,596,1
3,610,1
3,617,1
3,621,2
3,624,1
3,632,1
3,643,1
3,651,1
3,652,3
3,664,1
3,667,2
3,670,1
3,674,1
3,701,2
3,741,1
3,748,1
3,762,1
3,767,1
3,772,1
3,774,1
3,781,1
3,809,1
3,825,1
4,21,1
4,24,1
4,28,1
4,31,1
4,33,1
4,38,1
4,39,1
4,41,1
4,61,1
4,63,1
4,97,1
4,107,1
4,115,1
4,119,1
4,129,1
4,130,1
4,131,1
4,139,2
4,144,1
4,148,1
4,152,1
4,169,3
4,173,1
4,177,1
4,184,1
4,193,1
4,201,2
4,208,1
4,222,3
4,227,1
4,231,1
4,234,1
4,244,1
4,245,1
4,253,1
4,255,1
4,257,1
4,271,1
4,278,1
4,289,1
4,306,2
4,307,1
4,311,1
4,318,1
4,327,1
4,337,1
4,345,1
4,346,1
4,348,1
4,355,3
4,364,1
4,371,1
4,380,1
4,384,1
4,397,1
4,405,1
4,415,1
4,428,3
4,431,1
4,449,1
